analysis,status,input_authority,production_path,validation_evidence,limitation
Compound identity,REPRODUCIBLE_FROM_FROZEN_INPUT,configs/compounds.yaml,src/cardozo_ketamine_hr/identity.py,tests/test_identity_resolution.py,Source-to-initial-assertion producer is not recovered
Target harmonization,REPRODUCIBLE_FROM_FROZEN_INPUT,data/frozen/metadata/feature_dictionary.parquet,src/cardozo_ketamine_hr/targets.py,tests/test_target_mapping.py,No UniProt field is fabricated where absent from the frozen contract
Activity harmonization,PARTIALLY_REPRODUCIBLE,data/frozen/core/pooled_target_activity_summary.csv,src/cardozo_ketamine_hr/upstream/cleanup_pooled_parent_ketamine_activity_v2.py; src/cardozo_ketamine_hr/upstream/finalize_pooled_parent_ketamine_activity_v4.py,tests/test_activity_normalization.py,Earliest initial assertion table and PDSP workbook remain external Full-mode inputs
Expression processing,REPRODUCIBLE_FROM_FROZEN_INPUT,data/frozen/core/pooled_expression58.parquet,src/cardozo_ketamine_hr/expression.py,tests/test_expression_standardization.py,Raw BioGPS/GNF1H source matrix is not redistributed
HR calculation,FULLY_REPRODUCIBLE,data/frozen/core/pooled_target_activity.csv; data/frozen/core/pooled_expression58.parquet,src/cardozo_ketamine_hr/hr.py,tests/test_hr_construction.py,None
Strict-CNS HR-score matrix,FULLY_REPRODUCIBLE,data/frozen/core/pooled_target_activity.csv; data/frozen/core/pooled_expression58.parquet,src/cardozo_ketamine_hr/hr.py,tests/test_hr_construction.py,None
Whole-body HR-score matrix,FULLY_REPRODUCIBLE,data/frozen/core/pooled_target_activity.csv; data/frozen/core/pooled_expression58.parquet,src/cardozo_ketamine_hr/hr.py,tests/test_hr_construction.py,None
Strict-CNS α=.001 fingerprint,FULLY_REPRODUCIBLE,data/frozen/core/pooled_strict18_hr.csv,src/cardozo_ketamine_hr/fingerprint.py,tests/test_gesd_regression.py,None
Strict-CNS α=.0001 fingerprint,FULLY_REPRODUCIBLE,data/frozen/core/pooled_strict18_hr.csv,src/cardozo_ketamine_hr/fingerprint.py,tests/test_gesd_regression.py,None
Whole-body α=.001 fingerprint,RECONSTRUCTED_AND_VALIDATED,data/frozen/core/pooled_full77_hr.parquet,src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py,tests/test_gesd_regression.py,None
Whole-body α=.0001 fingerprint,RECONSTRUCTED_AND_VALIDATED,data/frozen/core/pooled_full77_hr.parquet,src/cardozo_ketamine_hr/upstream/whole_body_fingerprint_authority.py,tests/test_gesd_regression.py,None
S-ketamine fingerprint,REPRODUCIBLE_FROM_FROZEN_INPUT,data/frozen/profiles/all_compound_profiles_strict18_long.csv,src/cardozo_ketamine_hr/fingerprint.py,tests/test_final_family_completion.py,None
R-ketamine fingerprint,REPRODUCIBLE_FROM_FROZEN_INPUT,data/frozen/profiles/all_compound_profiles_strict18_long.csv,src/cardozo_ketamine_hr/fingerprint.py,tests/test_final_family_completion.py,None
Metabolite fingerprints,REPRODUCIBLE_FROM_FROZEN_INPUT,data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/fingerprint.py,tests/test_final_family_completion.py,Two reference-only metabolite identities remain without eligible numerical profiles
External-drug fingerprints,REPRODUCIBLE_FROM_FROZEN_INPUT,data/frozen/profiles/all_compound_profiles_strict18_long.csv,src/cardozo_ketamine_hr/fingerprint.py,tests/test_external_reuse.py,None
Family fingerprint pairwise analysis,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/pairwise_fingerprint.py,tests/test_pairwise_metrics.py,None
Global fingerprint pairwise analysis,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/pairwise_fingerprint.py,tests/test_pairwise_metrics.py,None
Family continuous pairwise analysis,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/pairwise_continuous.py,tests/test_pairwise_metrics.py,None
Global continuous pairwise analysis,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/pairwise_continuous.py,tests/test_pairwise_metrics.py,None
Family fingerprint multivariate,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/multivariate.py,tests/test_multivariate_rank_handling.py,Accepted EM-SVD point estimates retain disclosed convergence limitations
Global fingerprint multivariate,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/multivariate.py,tests/test_multivariate_rank_handling.py,Accepted EM-SVD point estimates retain disclosed convergence limitations
Family continuous multivariate,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/multivariate.py,tests/test_multivariate_rank_handling.py,Accepted EM-SVD point estimates retain disclosed convergence limitations
Global continuous multivariate,FULLY_REPRODUCIBLE,data/frozen/profiles/all_compound_profiles_strict18_long.csv; data/frozen/e7/raw_hr.csv; data/frozen/e7/common_rhr.csv,src/cardozo_ketamine_hr/multivariate.py,tests/test_fixed_reference_projection.py,Complete-case/shared-target models remain NOT_ESTIMABLE where support is insufficient
Final figure generation,REPRODUCIBLE_FROM_FROZEN_INPUT,results/reference/figure4/source_data/FROZEN_GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,src/cardozo_ketamine_hr/upstream/figure4_rightlegend_authority.py,tests/test_fixed_reference_projection.py,Frozen-coordinate visual derivative only; no refit jitter or coordinate movement
CNS phenotype literature mapping,BLOCKED,Not redistributed,Not present in public repository,Manuscript methods and private source-audit summary,"Manuscript analysis over 400 predefined target-tissue-phenotype cells; qualifying source records and complete adjudication contract are absent from the public release"
CNS phenotype Sankey construction,BLOCKED,Not redistributed,Not present in public repository,Manuscript Figure 6 caption,"Compound-pair-phenotype paths and governed renderer are absent; link width counts paths and is not effect size or evidence strength"
Neuropsychiatric pathology literature mapping,BLOCKED,Not redistributed,Not present in public repository,Manuscript methods and private definitive source-audit summary,"Manuscript analysis over 19 fingerprint pairs x 6 diseases = 114 cells; final source-level adjudication package is absent from the public release"
Pathology matrix construction,BLOCKED,Not redistributed,Not present in public repository,Manuscript pathology table/figure and private derivative summary,"Current 20-relationship matrix postdates inspected historical figure packages; no silent substitution is allowed"
Manuscript assembly and downstream figures,BLOCKED,Not redistributed,Not present in public repository,Current working manuscript,"The manuscript DOCX, literature-derived tables, and downstream production workflow are intentionally excluded"
