"role","repo_path","bytes","sha256","source_resource","source_snapshot","source_locator","status"
"GOVERNED_CONFIGURATION","configs/analysis_registry.yaml","8310","63CED959C6B0C61520997F0F3A332359AEF2DA98460FE05B904FFA9FCC725F0B","Versioned scientific and analysis configuration","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_PARSED_VALUES_EQUIVALENT_DESCRIPTOR_ONLY_CHANGE"
"GOVERNED_CONFIGURATION","configs/compounds.yaml","5264","39C3F8ED65B07D2007FE461CAA0EA63661E64069A5D476CB0BBA4B6F84C88CC0","Versioned scientific and analysis configuration","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_PARSED_VALUES_EQUIVALENT_DESCRIPTOR_ONLY_CHANGE"
"GOVERNED_CONFIGURATION","configs/governed_parameters.yaml","1303","73095C18D650450F9934F8D57592823923568AFD7738E366BE6A076B94264DF3","Versioned scientific and analysis configuration","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_PARSED_VALUES_EQUIVALENT_DESCRIPTOR_ONLY_CHANGE"
"GOVERNED_CONFIGURATION","configs/reference_drugs.yaml","3787","94B677D3D47AB6D1F1765079875088C8B0FE1CAA141D58F665BEFDBE927C6563","Versioned scientific and analysis configuration","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_PARSED_VALUES_EQUIVALENT_DESCRIPTOR_ONLY_CHANGE"
"GOVERNED_CONFIGURATION","configs/tissues_cns18.yaml","3306","51A8B843CAE944AB35FD1A3EBFBBC937D41F4323A7AF652D0F7FD94DF4AB2BB8","Versioned scientific and analysis configuration","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_PARSED_VALUES_EQUIVALENT_DESCRIPTOR_ONLY_CHANGE"
"GOVERNED_CONFIGURATION","configs/tissues_full77.yaml","9452","9041CCCEDE49B5BA0A841DB58B3D8CEC47A444F95C788D6D2FC12DE6B542FD20","Versioned scientific and analysis configuration","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_PARSED_VALUES_EQUIVALENT_DESCRIPTOR_ONLY_CHANGE"
"PUBLIC_CLASS_METADATA","data/frozen/metadata/class_membership.csv","6992","51C98F45A172FCD1EBCCCC9CF2651AA9762435CB768F293DC2E1F559972FDF74","Project-authored descriptive many-to-many class membership registry","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_PROJECT_METADATA"
"EXTERNAL_INPUT_CONTRACT","EXTERNAL_INPUT_MANIFEST.tsv","2604","6C58175EA660D7843F435EE2ACD6B812CC34A6E03288D4BB2ADDB0550BF4248F","Exact checksums and sizes for the 20 user-supplied governed inputs","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_EXTERNAL_INPUT_ROUTING"
"EXECUTION_ENVIRONMENT","launchers/run_reproduction.ps1","1949","1648ABBD7F74351658F1471C0DAD0B64710E46AA843E18C4AB5251A7367777CC","Supported public execution or dependency authority","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RELEASE_EXECUTION_INPUT"
"EXECUTION_ENVIRONMENT","requirements-lock.txt","745","EE8D82A8414FF6DF830CDA8340A3584AE7298566EB3115604649299894C008D8","Supported public execution or dependency authority","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RELEASE_EXECUTION_INPUT"
"PUBLIC_REFERENCE_OUTPUT","results/reference/class/CLASS_LOADINGS.csv","3350023","D6597C40EBC00710ECE6507AD14D726FAAF0E6AE1A817FE848060B49DA30EC89","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/class/CLASS_RESIDUALS_LONG.csv","958023","0C94C018CCB73634531280D7AE7269C099672A9E1D8F7F7BC2B3C5FE6C845EC6","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/class/CLASS_SCORES.csv","107385","A4FDF3386138CB86D2F15806447EBC4209FA647A1BE82E466AEE3DBFA8FA6D42","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/class/CLASS_STATUS.csv","41029","AD3B330CD24074994014487D31F07C8D283544AE6FDE3C93069E35A98C1C8D04","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/class/CLASS_SUMMARY.csv","4326","6578577215B8F50A1FE9F375D7DA87D68BC068508247EF4EE0150F1B1A36AAB2","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/family/FAMILY_AVERAGE_LINKAGE.csv","3071","9ED5927D053549B3E566BC25C45472E57569B83C75658409E7DB5A8D1596D346","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/family/FAMILY_COMPLETE_CASE_PCA_LOADINGS.csv","3775","E69FC0F5EAD771571FCA1A971206C46579E7038583A646BCC558275700AC81C6","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/family/FAMILY_COMPLETE_CASE_PCA_SCORES.csv","1833","BA1CB4E6BB6D8FCD492CC68A0ED8713E32965545703A452FC9B53091EA4B1ADA","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
"PUBLIC_REFERENCE_OUTPUT","results/reference/family/FAMILY_JOINT_CONTINUOUS_PCA_LOADINGS.csv","133421","DE7DA22ADDE8FECA54D01A80F2A24DBF707C9CE4BA0E456E3A740488E3961646","Accepted pooled-parent reference derivative from approved source snapshot","APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25","PUBLIC_RELEASE_FILE_DECISIONS.tsv","PUBLIC_RETAINED_BYTE_IDENTICAL_REFERENCE"
