analysis_id,representation,method,status,authority_validation_status,reason,sample_count,feature_count,rank,component_count,explained_variance_sum,iterations,converged,observed_reconstruction_rmse,input_roster,excluded_compounds,stress,seed,query_projection_status,query_projection_details,reference_roster,reference_axes_refit_with_query,class_id,class_label,trace_source,trace_record_number,classification_note
FAMILY_JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,CURRENT_SUCCESS,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,636.0,9.0,2.0,0.9835744825264897,300.0,False,0.05761436999116512,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,2,Accepted current numerical output; retained limitation is recorded in reason/convergence fields
FAMILY_COMPLETE_CASE_PCA,strict18_common_rhr,COMPLETE_CASE_SVD_PCA,CURRENT_SUCCESS,PASS,,10.0,18.0,7.0,2.0,0.8714888952088258,1.0,True,0.13271750900871426,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,3,Accepted current numerical output
FAMILY_TARGET_LEVEL_PCA,target_mean_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,CURRENT_SUCCESS,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,38.0,9.0,2.0,0.9977535331892954,300.0,False,0.02412423601827254,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,4,Accepted current numerical output; retained limitation is recorded in reason/convergence fields
FAMILY_SHARED_TARGET_PCA,complete_case_target_mean_common_rhr,COMPLETE_CASE_SVD_PCA,CURRENT_SUCCESS,PASS,,10.0,1.0,1.0,1.0,1.0,1.0,True,1.2412670766236365e-17,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,5,Accepted current numerical output
FAMILY_SPARSE_ALPHA001_PCA,alpha001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,CURRENT_SUCCESS,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,17.0,9.0,2.0,0.9855495925287217,300.0,False,0.10919776506874766,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,6,Accepted current numerical output; retained limitation is recorded in reason/convergence fields
FAMILY_SPARSE_ALPHA0001_PCA,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,CURRENT_SUCCESS,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,15.0,9.0,2.0,0.9982055689389657,300.0,False,0.05352478537700206,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,7,Accepted current numerical output; retained limitation is recorded in reason/convergence fields
FAMILY_RMS_PCOA,pairwise_rms,PCOA,CURRENT_SUCCESS,PASS,,10.0,,6.0,2.0,0.8236548112360582,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,8,Accepted current numerical output
FAMILY_WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,CURRENT_SUCCESS,PASS,,10.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,0.13384203700073666,20260813.0,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,9,Accepted current numerical output
FAMILY_AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,CURRENT_SUCCESS,PASS,,10.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,10,Accepted current numerical output
GLOBAL_JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,CURRENT_SUCCESS,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,779.0,34.0,2.0,0.9862560966138564,300.0,False,0.10714130999902112,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,,results/reference/FINAL_MODEL_STATUS.csv,11,Accepted current numerical output; retained limitation is recorded in reason/convergence fields
