source_repo_path	public_repo_path	role	upstream_source	source_version_or_retrieval_date	original_redistribution_status	public_decision	license_or_terms	citation_required	reason	replacement_or_acquisition_method	sha256
.gitattributes	.gitattributes	PUBLIC_RELEASE_FILE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	4AA2658F12003DF42FFAA80EA841DEC717B05AA8BEF4C8390F7A28938F67F300
.github/workflows/ci.yml	.github/workflows/ci.yml	ORIGINAL_CONFIGURATION	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	9CE2F91AC6E358579D89E41343CF869700C7A2F009AA3F8721B73A09D0D47DF0
.gitignore	.gitignore	PUBLIC_RELEASE_FILE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	79B4000904D67DA4B25C5CFE3E589724A71A60BE9E828EEED4DC87975CBAA58B
ANALYSIS_REPRODUCIBILITY_MATRIX.csv	ANALYSIS_REPRODUCIBILITY_MATRIX.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	DD4F7085FAAFE5DCF7ECAFF679DA354B51174976A6BF194E4CC6725E19E17631
CITATION.cff	CITATION.cff	ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	BE625E00D08B7B6296812F27B3D7EBCC4D4B0A3A6C3CE6C68C0F95AD2B879E24
CURRENT_ANALYSIS_AUTHORITY_MANIFEST.csv	CURRENT_ANALYSIS_AUTHORITY_MANIFEST.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	6D0CBA738D5B971E66CC39AC6D644E052037909886D63A848E7A576C0E10E733
DATA_MANIFEST.csv	DATA_MANIFEST.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REPLACE_WITH_PUBLIC_DERIVATIVE	MIT	NO	Public documentation, metadata, or input routing was sanitized without changing protected scientific behavior	Derived from the approved source snapshot with documented public-only changes	181DEDB48C6193278D447660C8CA8CFC6DEFC9E4D9BA36704EA88783B71D88C8
LICENSE_STATUS.md		ORIGINAL_DOCUMENTATION_OR_LICENSE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REMOVE	NOT_REDISTRIBUTED	NO	Source-era release, provenance-sanitization, or superseded metadata is not public release content	Replaced by public release documentation where applicable	D8DFB5789BD54DD9B61EEAA12417D352A832FDEBE3BA62959B734B92DBA0F28A
MANIFEST.tsv		PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	REMOVE	NOT_REDISTRIBUTED	NO	Source-era release, provenance-sanitization, or superseded metadata is not public release content	Replaced by public release documentation where applicable	50A675CDFCD68FA5BF9ACE52E007D24B811CD5A7525C2B076F8313ADB10908F0
MULTIVARIATE_MODEL_STATUS.csv	MULTIVARIATE_MODEL_STATUS.csv	PROJECT_METADATA_OR_AUDIT_EVIDENCE	Cardozo ketamine historeceptomics project	APPROVED_PUBLICATION_SOURCE_SNAPSHOT_2026-08-25	PROJECT_ORIGINAL_OR_NOT_APPLICABLE	KEEP	MIT	NO	Byte-identical approved artifact	None	C9DAAC10045CB98D6AD273897A1F28A42B89F208CB7B157A19FB80A8364C24B4
