category	path	item	status	detail
citation_bibtex	CITATION.bib	document	PASS	26 unique entries parsed by Pybtex
citation_cff	CITATION.cff	document	PASS	CFF 1.2 schema, v0.1.1 fields, single software author, and ORCID checksum valid
class_docstring	scripts/audit_code_documentation.py	Check:79	PASS	Documented
class_docstring	scripts/audit_repository.py	Finding:136	PASS	Documented
class_docstring	scripts/build_release_manifests.py	GitBlob:41	PASS	Documented
class_docstring	scripts/compare_executable_ast.py	DocstringStripper:44	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/activity.py	NormalizedActivity:52	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/figures.py	FigureRecorder:63	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/final_audit.py	AuditRun:121	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/gpu_backend.py	BackendDecision:33	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/identity.py	IdentityResolution:56	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/pipeline.py	RunContext:81	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/portable.py	CheckLedger:84	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/qa.py	QARecorder:43	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/resource_manager.py	ResourceManager:74	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/tables.py	TableRecorder:47	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/targets.py	TargetResolution:60	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/upstream/figure4_rightlegend_authority.py	P:45	PASS	Documented
class_docstring	src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_strict18_fingerprint_v1.py	GESDResult:215	PASS	Documented
configuration_descriptor	.github/codeql/codeql-config.yml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	.github/codeql/codeql-config.yml	purpose	PASS	Purpose documented
configuration_descriptor	.github/dependabot.yml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	.github/dependabot.yml	purpose	PASS	Purpose documented
configuration_descriptor	.github/workflows/ci.yml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	.github/workflows/ci.yml	purpose	PASS	Purpose documented
configuration_descriptor	.github/workflows/codeql.yml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	.github/workflows/codeql.yml	purpose	PASS	Purpose documented
configuration_descriptor	.github/workflows/dependency-review.yml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	.github/workflows/dependency-review.yml	purpose	PASS	Purpose documented
configuration_descriptor	configs/analysis_registry.yaml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	configs/analysis_registry.yaml	field constraints	PASS	Documented
configuration_descriptor	configs/analysis_registry.yaml	modification caution	PASS	Documented
configuration_descriptor	configs/analysis_registry.yaml	purpose	PASS	Purpose documented
configuration_descriptor	configs/analysis_registry.yaml	scientific-change impact	PASS	Documented
configuration_descriptor	configs/analysis_registry.yaml	units	PASS	Documented
configuration_descriptor	configs/compounds.yaml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	configs/compounds.yaml	field constraints	PASS	Documented
configuration_descriptor	configs/compounds.yaml	modification caution	PASS	Documented
configuration_descriptor	configs/compounds.yaml	purpose	PASS	Purpose documented
configuration_descriptor	configs/compounds.yaml	scientific-change impact	PASS	Documented
configuration_descriptor	configs/compounds.yaml	units	PASS	Documented
configuration_descriptor	configs/governed_parameters.yaml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	configs/governed_parameters.yaml	field constraints	PASS	Documented
configuration_descriptor	configs/governed_parameters.yaml	modification caution	PASS	Documented
configuration_descriptor	configs/governed_parameters.yaml	purpose	PASS	Purpose documented
configuration_descriptor	configs/governed_parameters.yaml	scientific-change impact	PASS	Documented
configuration_descriptor	configs/governed_parameters.yaml	units	PASS	Documented
configuration_descriptor	configs/reference_drugs.yaml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	configs/reference_drugs.yaml	field constraints	PASS	Documented
configuration_descriptor	configs/reference_drugs.yaml	modification caution	PASS	Documented
configuration_descriptor	configs/reference_drugs.yaml	purpose	PASS	Purpose documented
configuration_descriptor	configs/reference_drugs.yaml	scientific-change impact	PASS	Documented
configuration_descriptor	configs/reference_drugs.yaml	units	PASS	Documented
configuration_descriptor	configs/tissues_cns18.yaml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	configs/tissues_cns18.yaml	field constraints	PASS	Documented
configuration_descriptor	configs/tissues_cns18.yaml	modification caution	PASS	Documented
configuration_descriptor	configs/tissues_cns18.yaml	purpose	PASS	Purpose documented
configuration_descriptor	configs/tissues_cns18.yaml	scientific-change impact	PASS	Documented
configuration_descriptor	configs/tissues_cns18.yaml	units	PASS	Documented
configuration_descriptor	configs/tissues_full77.yaml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	configs/tissues_full77.yaml	field constraints	PASS	Documented
configuration_descriptor	configs/tissues_full77.yaml	modification caution	PASS	Documented
configuration_descriptor	configs/tissues_full77.yaml	purpose	PASS	Purpose documented
configuration_descriptor	configs/tissues_full77.yaml	scientific-change impact	PASS	Documented
configuration_descriptor	configs/tissues_full77.yaml	units	PASS	Documented
configuration_descriptor	environment.yml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	environment.yml	purpose	PASS	Purpose documented
configuration_descriptor	pyproject.toml	consumer	PASS	Consumer/change impact documented
configuration_descriptor	pyproject.toml	purpose	PASS	Purpose documented
configuration_descriptor	workflow/Snakefile	consumer	PASS	Consumer/change impact documented
configuration_descriptor	workflow/Snakefile	purpose	PASS	Purpose documented
development_metadata	.github/ISSUE_TEMPLATE/bug_report.yml	file	PASS	No findings
development_metadata	.github/ISSUE_TEMPLATE/config.yml	file	PASS	No findings
development_metadata	.github/ISSUE_TEMPLATE/documentation_issue.yml	file	PASS	No findings
