"output_id","logical_output","selected_authority","source_input","production_script","configuration","launcher","environment","validation_rule","expected_dimensions","expected_values","reproduction_command","reproducibility_status"
"OL001","initial pooled-parent activity source table","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/POOLED_PARENT_KETAMINE_ACTIVITY_TABLE.csv [sha256=1F799CB884DEA1A3663763F4B87068E0DAA7C348D490F7730665F59CA9F57F2C]","Racemic ketamine source records and adjudication products; exact construction inputs not fully recorded","NOT_LOCATED","Identity categories and exact target grain are embedded in the frozen table","launchers/run_reproduction.ps1 -Mode Full (begins at this external boundary)","unknown historical build environment","Frozen file hash; unique independence keys; schema and row count","17715 rows x 45 columns","analysis_compound=POOLED_PARENT_KETAMINE; no duplicate independence-key rows after cleanup","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","PARTIALLY_REPRODUCIBLE"
"OL002","species-cleaned pooled-parent activity rows","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/POOLED_PARENT_KETAMINE_ACTIVITY_TABLE_SPECIES_CLEANED.csv [sha256=329CAA2A109B6BD92BC8197E9EE632D79C8AD3F3DD8B795C1793DA51374D0F97]","OL001; PROJECT_ROOT/12_QA_AUDITS_AND_PROVENANCE/Audit_Reports/Racemic_Ketamine_Identity_Coverage_Audit_20260805_165431_492/02_SOURCE_RECORD_INVENTORY/KETAMINE_SOURCE_ASSERTION_MASTER.parquet [sha256=8613CE151DF7ABC2E329C04FCE2D286760793EB907D47803B7A80146D00C3217]; PDSP workbook [sha256=59A2A29BEE25F459B953212E97BC080B484C61C7582E4AAC458231496E2F849D]","src/cardozo_ketamine_hr/upstream/cleanup_pooled_parent_ketamine_activity_v2.py","Human priority; mammalian fallback; bounded relation preservation; no HR calculation","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; pyarrow; openpyxl","SUMMARY.status=PASS; input hash exact; output checksum manifest","17715 cleaned rows","14125 PDSP rows; 15123 measured numerical; 2592 modeled or assigned; 7060 bounded","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL003","v2 selected target-activity summary","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/POOLED_PARENT_KETAMINE_TARGET_ACTIVITY_SUMMARY.csv [sha256=749054E7DCA89AB73F78F70086C142B51BCE092D7235DDA6D282578932C2BCD2]","OL002 plus measured/modeled subsets","src/cardozo_ketamine_hr/upstream/cleanup_pooled_parent_ketamine_activity_v2.py","Same as OL002","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; pyarrow; openpyxl","SUMMARY.status=PASS; exact target roster","81 target rows","76 targets with selected value","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL004","forensic v3 target-activity summary","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/POOLED_PARENT_KETAMINE_TARGET_ACTIVITY_SUMMARY_FORENSIC_V3.csv [sha256=784D026D9B7F4A026E53ACAABCB663AF36D9AA5E155E6FD30268705BA34FF393]","OL002; OL003; PDSP Ki workbook and resolvable legacy source rows","src/cardozo_ketamine_hr/upstream/forensic_finalize_pooled_parent_ketamine_activity_v3.py","Explicit-human support; PDSP 10000-bound forensics; no HR calculation","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; openpyxl","SUMMARY.status=PASS; output checksum manifest","81 target rows","72 ready exact; 4 review; 5 no selected value; 37 raw PDSP explicit-human rows","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL005","final v4 81-target activity summary","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/POOLED_PARENT_KETAMINE_TARGET_ACTIVITY_SUMMARY_FINAL_V4.csv [sha256=6EC9E988065783E925DAC4AD50A606766A15819F86D63378979B2D6BBDF7BDDC]","OL004","src/cardozo_ketamine_hr/upstream/finalize_pooled_parent_ketamine_activity_v4.py","Fixed PDSP >10000 relation patch; no HR calculation","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy","SUMMARY.status=PASS; input hash exact; checksum manifest","81 target rows","36 PDSP >10000 targets patched","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL006","final v4 HR-input activity table","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/POOLED_PARENT_KETAMINE_HR_INPUT_TARGET_ACTIVITY_V4.csv [sha256=7C23FC0ED80FF6E460F753F778BDB744AFB3FA12F0EA11215E95760849E3B15C]","OL004","src/cardozo_ketamine_hr/upstream/finalize_pooled_parent_ketamine_activity_v4.py","Selected-value targets only; relation operators preserved","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy","SUMMARY.status=PASS; exact SHA-256","76 target rows","No missing selected activity in HR input","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL007","full-tissue HR v1","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/Full_Tissue_HR_v1_20260813_085417/POOLED_PARENT_KETAMINE_FULL_HR_LONG_V1.csv [sha256=7D924B7E8F84E52D86AFC8E1FB56358482DBED834A82C6847D71F254D3935E7B]","OL006; PROJECT_ROOT/01_AUTHORITIES/Feature_and_Expression_Authority/Pre_Fingerprint_Authority_E1_E4_U1_20260806_133615_737/06_PRE_FINGERPRINT_MASTER/PRE_FINGERPRINT_MASTER_ALL_SPECIES.parquet [sha256=11F4646C13B80C346020B28FA942BFC729950D5D29FB89083EC4BB0829E6C8B7]","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_full_hr_v1.py","HR=pActivity*expression_Z; human BioGPS profile; ddof=1; sign-aware bounded relations; no zero imputation","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; pyarrow","SUMMARY.status=PASS_WITH_MISSING_EXPRESSION_TARGETS; zero expression conflicts >1e-8","38 targets x 77 tissues = 2926 rows","1694 exact HR coordinates; 1232 bounded; 38 activity targets missing expression","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL008","recovered missing38 expression rows","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/Full_Tissue_HR_v1_20260813_085417/Missing38_Expression_Recovery_Audit_v1_20260813_100740/RECOVERABLE_MISSING38_EXPRESSION_77TISSUE.csv [sha256=C693375FAF807A06A92557307B14306403287C7E77EBCAE0F3E406116D9B827A]","OL006; OL007; PROJECT_ROOT/01_AUTHORITIES/Ketamine_HPF/Human_Priority_Mammalian_Fallback_U1_Fingerprint_Authority_20260807_051641_664/01_INPUT_AUTHORITIES/FINAL_FEATURE_DICTIONARY.parquet [sha256=C118155941DBD00E01ECBB99FB5577D419C0EE8A157ED6788DC2B0316CBF3281]; PROJECT_ROOT/09_CODE_AND_PIPELINES/Historical_Project_Trees/ketamine_hr_analysis/data_intermediate/expression_cleaned/expression_long.tsv [sha256=03356BC175FFFC9D24C372865E72ABCAEF2520939EDF508A4CD90FF2C42C9E3D]","src/cardozo_ketamine_hr/upstream/audit_recover_missing38_biogas_expression_v1.py","Frozen HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1 contract; feature dictionary first; cleaned BioGPS fallback only","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; pyarrow","SUMMARY.status=PASS; 2926-coordinate overlap max abs delta <=1e-10","20 targets x 77 tissues = 1540 rows","19 targets from frozen feature dictionary; 1 from cleaned BioGPS; 18 remain missing; max overlap delta=8.881784197001252e-16","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL009","expanded58 full-body HR authority","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/Full_Tissue_HR_v1_20260813_085417/Expanded58_Full_Tissue_HR_v2_20260813_123324/POOLED_PARENT_KETAMINE_FULL_HR_EXPANDED58_LONG_V2.parquet [sha256=2D406BB6D5CF6C48DCC1805F2E812681856A14785E43C32A5A9ADE7FDE437DF3]","OL006; OL007; OL008; 18 explicit unrecoverable targets","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_expanded58_hr_v2.py; src/cardozo_ketamine_hr/portable.py","Preserve HR v1 coordinates; append only 20 recovered targets; no zero imputation","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; pyarrow","SUMMARY.status=PASS; HR_V1_VS_EXPANDED58_CROSSCHECK.csv","58 targets x 77 tissues = 4466 finite rows","2926 inherited plus 1540 added; 18 activity targets remain missing expression","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
"OL010","strict18 numeric HR authority","PROJECT_ROOT/02_HR_SCORES/Ketamine_Family/Pooled_Parent_Ketamine_Activity_20260813_072204/Species_Cleanup_Bounded_v2_20260813_081429/Forensic_Finalization_v3_20260813_083903/Final_Activity_v4_20260813_084842/Full_Tissue_HR_v1_20260813_085417/Expanded58_Full_Tissue_HR_v2_20260813_123324/Strict18_Fingerprint_v1_20260813_124501/POOLED_PARENT_KETAMINE_STRICT18_NUMERIC_HR_INPUT_V1.csv [sha256=48027602E0A9E63D48977BEA885155CD36D5826C773231F8CC38116354781BD8]","OL009 plus governed strict18 tissue panel","src/cardozo_ketamine_hr/upstream/generate_pooled_parent_ketamine_strict18_fingerprint_v1.py; src/cardozo_ketamine_hr/portable.py","STRICT18_CNS; signed numeric HR; bounded/exact distinction not used for GESD","launchers/run_reproduction.ps1 -Mode Full","Python 3; pandas; numpy; scipy; matplotlib","SUMMARY.status=PASS; exact 58x18 roster","58 targets x 18 tissues = 1044 finite coordinates","No missing strict18 coordinates","pwsh .\launchers\run_reproduction.ps1 -Mode Full -InitialActivityTable <GOVERNED_ACTIVITY_TABLE> -PdspWorkbook <GOVERNED_PDSP_WORKBOOK> -ProjectRoot <GOVERNED_PROJECT_DIRECTORY>","REPRODUCIBLE_FROM_FROZEN_INPUT"
