artifact_group	role	repo_relative_path	source_path_alias	source_bytes	source_sha256	repo_bytes	repo_sha256	record_count	verification_status
whole_body_input	full77_numerical_authority	data/frozen/core/pooled_full77_hr.parquet	PROJECT_ROOT\02_HR_SCORES\Ketamine_Family\Pooled_Parent_Ketamine_Activity_20260813_072204\Species_Cleanup_Bounded_v2_20260813_081429\Forensic_Finalization_v3_20260813_083903\Final_Activity_v4_20260813_084842\Full_Tissue_HR_v1_20260813_085417\Expanded58_Full_Tissue_HR_v2_20260813_123324\POOLED_PARENT_KETAMINE_FULL_HR_EXPANDED58_LONG_V2.parquet	180685	2D406BB6D5CF6C48DCC1805F2E812681856A14785E43C32A5A9ADE7FDE437DF3	180685	2D406BB6D5CF6C48DCC1805F2E812681856A14785E43C32A5A9ADE7FDE437DF3	4466.0	BYTE_IDENTICAL_SOURCE_COPY
whole_body_input	strict18_smoke_hr	data/frozen/core/pooled_strict18_hr.csv	PROJECT_ROOT\02_HR_SCORES\Ketamine_Family\Pooled_Parent_Ketamine_Activity_20260813_072204\Species_Cleanup_Bounded_v2_20260813_081429\Forensic_Finalization_v3_20260813_083903\Final_Activity_v4_20260813_084842\Full_Tissue_HR_v1_20260813_085417\Expanded58_Full_Tissue_HR_v2_20260813_123324\Strict18_Fingerprint_v1_20260813_124501\POOLED_PARENT_KETAMINE_STRICT18_NUMERIC_HR_INPUT_V1.csv	211119	48027602E0A9E63D48977BEA885155CD36D5826C773231F8CC38116354781BD8	211119	48027602E0A9E63D48977BEA885155CD36D5826C773231F8CC38116354781BD8	1044.0	BYTE_IDENTICAL_SOURCE_COPY
whole_body_input	strict18_alpha001_calls	data/frozen/core/pooled_strict18_calls_alpha001.csv	PROJECT_ROOT\02_HR_SCORES\Ketamine_Family\Pooled_Parent_Ketamine_Activity_20260813_072204\Species_Cleanup_Bounded_v2_20260813_081429\Forensic_Finalization_v3_20260813_083903\Final_Activity_v4_20260813_084842\Full_Tissue_HR_v1_20260813_085417\Expanded58_Full_Tissue_HR_v2_20260813_123324\Strict18_Fingerprint_v1_20260813_124501\POOLED_PARENT_KETAMINE_FINGERPRINT_ALPHA_0p001_V1.csv	3772	653D384BD2D1AC790DCDF101E1E1DC07B8B3DFECC95D992B29C376886604E387	3772	653D384BD2D1AC790DCDF101E1E1DC07B8B3DFECC95D992B29C376886604E387	19.0	BYTE_IDENTICAL_SOURCE_COPY
whole_body_input	strict18_alpha0001_calls	data/frozen/core/pooled_strict18_calls_alpha0001.csv	PROJECT_ROOT\02_HR_SCORES\Ketamine_Family\Pooled_Parent_Ketamine_Activity_20260813_072204\Species_Cleanup_Bounded_v2_20260813_081429\Forensic_Finalization_v3_20260813_083903\Final_Activity_v4_20260813_084842\Full_Tissue_HR_v1_20260813_085417\Expanded58_Full_Tissue_HR_v2_20260813_123324\Strict18_Fingerprint_v1_20260813_124501\POOLED_PARENT_KETAMINE_FINGERPRINT_ALPHA_0p0001_V1.csv	2820	18C7F33DC9079FBFC8F00B16C4EAD20F8DAD5601DF60E556F99CCCA1DB1E7F64	2820	18C7F33DC9079FBFC8F00B16C4EAD20F8DAD5601DF60E556F99CCCA1DB1E7F64	14.0	BYTE_IDENTICAL_SOURCE_COPY
whole_body_input	tissue_classification	data/frozen/metadata/feature_dictionary.parquet	PROJECT_ROOT\01_AUTHORITIES\Ketamine_HPF\Human_Priority_Mammalian_Fallback_U1_Fingerprint_Authority_20260807_051641_664\01_INPUT_AUTHORITIES\FINAL_FEATURE_DICTIONARY.parquet	345340	C118155941DBD00E01ECBB99FB5577D419C0EE8A157ED6788DC2B0316CBF3281	345340	C118155941DBD00E01ECBB99FB5577D419C0EE8A157ED6788DC2B0316CBF3281		BYTE_IDENTICAL_SOURCE_COPY
whole_body_output	cns_smoke_test	results/reference/whole_body/CNS_SMOKE_TEST.json	PROJECT_ROOT\manuscript_figures\Ketamine_whole_body_fingerprint\02_CNS_METHOD_SMOKE_TEST\CNS_SMOKE_TEST.json	302	DCF09C95688C39C2B0E544BA4F886A5EFCC189A625524176BD3203944F847731	293	16941D78187F15FFACDDD6B89C641F7184F875E7C4704CE4DF53EA613BC05541		LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
whole_body_output	alpha0001_fingerprint	results/reference/whole_body/KETAMINE_WHOLE_BODY_FINGERPRINT_ALPHA_0p0001.csv	PROJECT_ROOT\manuscript_figures\Ketamine_whole_body_fingerprint\03_WHOLE_BODY_CALL_TABLES\KETAMINE_WHOLE_BODY_FINGERPRINT_ALPHA_0p0001.csv	23812	51A0E09A71869075D1C35DC1EEAA1E04171B22107B6654B90EDFF7CE22E7B649	22101	F78C8D209F663C2C7AE077118E9CEF96C035DA6FD8D4F27CF4AB95031211C147	38.0	LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
whole_body_output	alpha001_fingerprint	results/reference/whole_body/KETAMINE_WHOLE_BODY_FINGERPRINT_ALPHA_0p001.csv	PROJECT_ROOT\manuscript_figures\Ketamine_whole_body_fingerprint\03_WHOLE_BODY_CALL_TABLES\KETAMINE_WHOLE_BODY_FINGERPRINT_ALPHA_0p001.csv	36783	F4080415A189842AB9698CEAA4A88F4804E3455AA8CE339016DF424807AA2002	34127	ABB2AA0BC6E3343E0EEDA91CCA9B0699356C770542B9B7B1FF9976F86EEB9A0E	59.0	LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
whole_body_output	summary_metrics	results/reference/whole_body/KETAMINE_WHOLE_BODY_FINGERPRINT_SUMMARY_METRICS.csv	PROJECT_ROOT\manuscript_figures\Ketamine_whole_body_fingerprint\03_WHOLE_BODY_CALL_TABLES\KETAMINE_WHOLE_BODY_FINGERPRINT_SUMMARY_METRICS.csv	704	81C1B0095DA20C71F14FEE9FCA0DFDA265B7621491084043B93AEA6E4B5D798F	682	30F72624E1EEF5CBD095B9D4DDAE7E2125914A90A40ECFF5F942129A9F8682A7	21.0	LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
whole_body_output	qc_results	results/reference/whole_body/QC_RESULTS.json	PROJECT_ROOT\manuscript_figures\Ketamine_whole_body_fingerprint\06_QC\QC_RESULTS.json	1258	BFA0155C3B89B16E124E25A23702F9129239281AAECDFB3436C30983AA34BC11	1213	044B2EBE4FFCD2F85784877CCC09AC97AFCED428E1A082E7057090FD89107707		LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
multivariate_closeout	final_model_status	results/reference/FINAL_MODEL_STATUS.csv	PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\16_FREEZE_CANDIDATE\Pooled_Parent_Ketamine_Comparative_Stage_FREEZE_CANDIDATE\FINAL_MODEL_STATUS.csv	54517	81C9E1D9B1527BAA194BF20710E139AA0ADACA91CC136E8EDA968C5936E1CF73	54517	81C9E1D9B1527BAA194BF20710E139AA0ADACA91CC136E8EDA968C5936E1CF73	117.0	BYTE_IDENTICAL_SOURCE_COPY
multivariate_closeout	final_multivariate_audit	results/reference/FINAL_MULTIVARIATE_AUDIT.csv	PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\16_FREEZE_CANDIDATE\Pooled_Parent_Ketamine_Comparative_Stage_FREEZE_CANDIDATE\FINAL_MULTIVARIATE_AUDIT.csv	43318	2908CFC554C101AD8F6CC1C007A759A521A30187A0E20B126F76ED6C7412A9F8	43318	2908CFC554C101AD8F6CC1C007A759A521A30187A0E20B126F76ED6C7412A9F8	118.0	BYTE_IDENTICAL_SOURCE_COPY
multivariate_closeout	fixed_reference_scores	results/reference/global/GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv	PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv	7116	79CCCB4DFA80C0FFB6F135AE31D5462939EB193A3D95B96AF5C4A922775749C0	7116	79CCCB4DFA80C0FFB6F135AE31D5462939EB193A3D95B96AF5C4A922775749C0	35.0	BYTE_IDENTICAL_SOURCE_COPY
figure4	frozen_fixed_reference_scores	results/reference/figure4/source_data/FROZEN_GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\source_data\FROZEN_GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv	7116	79CCCB4DFA80C0FFB6F135AE31D5462939EB193A3D95B96AF5C4A922775749C0	7080	58B7F3231B47EA198ED2235F50F6EA711D21DE40FE24038F1AD26D8824CB99C0	35.0	LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
figure4	validated_coordinates	results/reference/figure4/source_data/VALIDATED_FIGURE4_SOURCE_COORDINATES.csv	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\source_data\VALIDATED_FIGURE4_SOURCE_COORDINATES.csv	18356	8B607B308A365D4BA5564720F4F533D13628C54AC4C6AF703287F7DC2D1C681C	16780	8A369B7DDD2201E3EBC5A9BA227D67997B2E154B8982238588BF95A4894ED4AA	35.0	LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
figure4	palette_specification	results/reference/figure4/source_data/PALETTE_SPECIFICATION.csv	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\source_data\PALETTE_SPECIFICATION.csv	245	B3FE766160678E67DC582E6058996549994E3D7F046E6CF5904E87D3939842A5	245	B3FE766160678E67DC582E6058996549994E3D7F046E6CF5904E87D3939842A5	9.0	BYTE_IDENTICAL_SOURCE_COPY
figure4	numerical_qc	results/reference/figure4/qc/NUMERICAL_QC.json	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\qc\NUMERICAL_QC.json	2615	96B808923D70D9D732A0284F28A5544F89CA7F8B2656F918293E3D2E86C72F86	2514	875F5DCB8110059B9AC906EDFCD664648BFA2E365B580F336D054C752BF8DAF1		LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
figure4	visual_layout_qc	results/reference/figure4/qc/VISUAL_LAYOUT_QC.json	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\qc\VISUAL_LAYOUT_QC.json	1982	8EA9DF632F1400EF1BE08C246155AF2EE2F415D7DF4D2BDC221B3E2F6A531D34	1920	44A3840B77DC2443C03DFB7E6D0211E10468D793F129B8E03F69CC9F56FA2101		LOCAL_PROVENANCE_PATHS_ALIASED_NUMERICAL_CONTENT_PRESERVED
figure4	final_png	results/reference/figure4/final/FINAL_FIGURE4_CARDOZO_BRIGHT_RIGHTLEGEND_600dpi.png	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\final\FINAL_FIGURE4_CARDOZO_BRIGHT_RIGHTLEGEND_600dpi.png	447326	0ACB17DCE9B984FD2DB0C9144E472DD8828BC2523688BBF0DD812CFD7F3105F8	447326	0ACB17DCE9B984FD2DB0C9144E472DD8828BC2523688BBF0DD812CFD7F3105F8		BYTE_IDENTICAL_SOURCE_COPY
figure4	final_pdf	results/reference/figure4/final/FINAL_FIGURE4_CARDOZO_BRIGHT_RIGHTLEGEND.pdf	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\final\FINAL_FIGURE4_CARDOZO_BRIGHT_RIGHTLEGEND.pdf	140894	22AF27D5FB224E011384C16235F21A5419804A457503B7F719C6020A6E1D322C	140894	22AF27D5FB224E011384C16235F21A5419804A457503B7F719C6020A6E1D322C		BYTE_IDENTICAL_SOURCE_COPY
figure4	final_svg	results/reference/figure4/final/FINAL_FIGURE4_CARDOZO_BRIGHT_RIGHTLEGEND.svg	PROJECT_ROOT\publication_figures\Figure_4_CardozoStyle_Final_20260821_121534\bright_rightlabels_20260821_133246\final_rightlegend_20260821_135544\final\FINAL_FIGURE4_CARDOZO_BRIGHT_RIGHTLEGEND.svg	436480	D5499470890BDA3AFA6416A4925A11594701F8C17786BE35B2262FB89343A99C	436480	D5499470890BDA3AFA6416A4925A11594701F8C17786BE35B2262FB89343A99C		BYTE_IDENTICAL_SOURCE_COPY
