drug,feature_id,target,tissue,raw_hr,common_rhr,call_alpha001,call_alpha0001
SYNTHETIC_A,SMOKE_F1,SMOKE_T1,SMOKE_X,-2.0,-2.0,1,1
SYNTHETIC_A,SMOKE_F2,SMOKE_T1,SMOKE_Y,0.0,0.0,1,0
SYNTHETIC_A,SMOKE_F3,SMOKE_T2,SMOKE_X,1.0,1.0,0,0
SYNTHETIC_B,SMOKE_F1,SMOKE_T1,SMOKE_X,-1.0,-1.0,1,1
SYNTHETIC_B,SMOKE_F2,SMOKE_T1,SMOKE_Y,1.0,1.0,0,0
SYNTHETIC_B,SMOKE_F3,SMOKE_T2,SMOKE_X,0.0,0.0,1,0
SYNTHETIC_C,SMOKE_F1,SMOKE_T1,SMOKE_X,1.0,1.0,0,0
SYNTHETIC_C,SMOKE_F2,SMOKE_T1,SMOKE_Y,-1.0,-1.0,1,0
SYNTHETIC_C,SMOKE_F3,SMOKE_T2,SMOKE_X,0.0,0.0,1,0
SYNTHETIC_D,SMOKE_F1,SMOKE_T1,SMOKE_X,2.0,2.0,1,1
SYNTHETIC_D,SMOKE_F2,SMOKE_T1,SMOKE_Y,0.0,0.0,0,0
SYNTHETIC_D,SMOKE_F3,SMOKE_T2,SMOKE_X,-1.0,-1.0,1,0
