analysis_id,representation,method,status,sample_count,feature_count,matrix_rank,estimable_components,explained_variance,missingness_handling,seed,fixed_reference_query_independent,no_forced_PC2,input_roster,audit_status,notes
FAMILY_JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,10.0,636.0,9.0,2.0,0.9835744825264897,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
FAMILY_COMPLETE_CASE_PCA,strict18_common_rhr,COMPLETE_CASE_SVD_PCA,PASS,10.0,18.0,7.0,2.0,0.8714888952088258,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,
FAMILY_TARGET_LEVEL_PCA,target_mean_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,10.0,38.0,9.0,2.0,0.9977535331892954,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
FAMILY_SHARED_TARGET_PCA,complete_case_target_mean_common_rhr,COMPLETE_CASE_SVD_PCA,PASS,10.0,1.0,1.0,1.0,1.0,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,
FAMILY_SPARSE_ALPHA001_PCA,alpha001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,10.0,17.0,9.0,2.0,0.9855495925287217,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
FAMILY_SPARSE_ALPHA0001_PCA,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,10.0,15.0,9.0,2.0,0.9982055689389657,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
FAMILY_RMS_PCOA,pairwise_rms,PCOA,PASS,10.0,,6.0,2.0,0.8236548112360582,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,
FAMILY_WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,10.0,,,2.0,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,20260813.0,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,
FAMILY_AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,10.0,,,,,METHOD_SPECIFIC_COMPLETE_OR_DISTANCE_MATRIX,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,
GLOBAL_JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,35.0,779.0,34.0,2.0,0.9862560966138564,EM_SVD_OBSERVED_ENTRY_PRESERVATION,,True,True,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",PASS,EM-SVD did not meet convergence tolerance; point estimate retained
