feature_id,query_common_rhr,class_median_common_rhr,query_minus_class_median,class_id,class_label,target,tissue
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_06645e2e8409a5b743985cdd|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,1.3256712318464634,1.5569374811661316,-0.23126624931966822,ANALGESICS,Analgesic context,ADRA2A,Wholebrain
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_0cb8b4d1db8c390eeeecca55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,-0.5044395774634475,-0.6949872794578386,0.19054770199439108,ANALGESICS,Analgesic context,ADRA2A,Pons
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_13a552b6ffc4aac3b85a50ca|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,0.5741290899637739,0.6194242827154145,-0.04529519275164062,ANALGESICS,Analgesic context,ADRA2A,Amygdala
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_192dff4b8df5862a227b1163|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,-0.6732064603943135,-0.9179143788367126,0.24470791844239903,ANALGESICS,Analgesic context,ADRA2A,SubthalamicNucleus
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_20b60708f05d03c76f9fe702|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,0.5992580300558955,0.650054523715477,-0.0507964936595815,ANALGESICS,Analgesic context,ADRA2A,CerebellumPeduncles
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_374f872ebf1bbba2be514f9f|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,-1.129932837769179,-1.5552821974860218,0.42534935971684273,ANALGESICS,Analgesic context,ADRA2A,GlobusPallidus
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_5c090f15f3e5194312a7e8ed|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,-0.7142836231329676,-0.9637370949334377,0.24945347180047017,ANALGESICS,Analgesic context,ADRA2A,MedullaOblongata
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,0.6639939006317417,0.7229337578553053,-0.05893985722356365,ANALGESICS,Analgesic context,ADRA2A,PrefrontalCortex
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_7725bb8a75064c4d7246d9ba|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,-0.6732064603943135,-0.9179143788367126,0.24470791844239903,ANALGESICS,Analgesic context,ADRA2A,OccipitalLobe
ADRA2A|EXACT_SINGLE_PROTEIN|HSAMP_8ed020260a1d25cf72324c8a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,0.22956957141467732,0.17745413286844094,0.052115438546236376,ANALGESICS,Analgesic context,ADRA2A,Hypothalamus
