class_id,class_label,status,numerical_member_count,numerical_members,matched_feature_count,mean_absolute_query_minus_class_median,rms_query_minus_class_median,class_fingerprint_union_calls,query_fingerprint_calls,shared_fingerprint_calls,fingerprint_union,pooled_parent_fingerprint_jaccard,mean_class_call_prevalence,mean_continuous_distance,median_continuous_distance,minimum_continuous_distance,member_count
ANALGESICS,Analgesic context,PASS,2,Dextromethorphan; Morphine,90,0.31350824254251347,0.3805270633042426,2,19,1,20,0.05,0.5,0.3612360622721349,0.3612360622721349,0.3304170190175333,2
ANESTHETIC_SEDATIVE,Anesthetic and sedative context,PASS,2,Dexmedetomidine; Propofol,126,0.1813605765245829,0.2708691559044198,2,19,2,19,0.10526315789473684,0.5,0.18776634410090998,0.18776634410090998,0.0538574298442879,2
ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context,PASS,8,Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine,396,0.4345058681441521,0.5633868447763957,10,19,5,24,0.20833333333333334,0.3,0.37987784976045086,0.33605098377930304,0.204224661847177,8
ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set,PASS,8,Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone,450,0.3476124747918319,0.47196423082005,17,19,8,28,0.2857142857142857,0.4338235294117647,0.4803128144915731,0.4941493763299416,0.3135752316672766,8
ATYPICAL_ANTIPSYCHOTICS,Atypical antipsychotics,PASS,6,Aripiprazole; Clozapine; Olanzapine; Quetiapine; Risperidone; Ziprasidone,432,0.37637387296497643,0.49548732918166727,14,19,6,27,0.2222222222222222,0.5238095238095238,0.49352677364691017,0.4941493763299416,0.357342677507437,6
DISSOCIATIVE_NMDA_CONTEXT,Dissociative and NMDA-channel context,PASS,2,Dextromethorphan; PCP,72,0.46367749048920637,0.6184462561225991,2,19,1,20,0.05,0.5,0.4866191950781403,0.4866191950781403,0.3304170190175333,2
GLOBAL_ALL_COMPARATORS,All numerical comparators,PASS,25,Aripiprazole; Bupropion; Chlorpromazine; Clozapine; Dexmedetomidine; Dextromethorphan; Duloxetine; Fluoxetine; Haloperidol; Lamotrigine; Lysergide (LSD); Mirtazapine; Morphine; Olanzapine; PCP; Propofol; Psilocin; Psilocybin; Quetiapine; Risperidone; Scopolamine; Sertraline; Valproate; Venlafaxine; Ziprasidone,450,0.33889062763886435,0.4579822481398737,19,19,8,30,0.26666666666666666,0.21263157894736842,0.4365390151718532,0.4131805272340347,0.0538574298442879,25
HISTORICAL_HISTORECEPTOMIC_CONTROLS,Historical historeceptomic controls,PASS,6,Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine,414,0.22368791760671303,0.31306631188458933,11,19,8,22,0.36363636363636365,0.4393939393939394,0.29056194838355576,0.2815264649971606,0.204224661847177,6
MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,PASS,5,Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine,378,0.43335083488526654,0.5736526273455449,8,19,5,22,0.22727272727272727,0.42500000000000004,0.3490141936709939,0.2494776983270446,0.204224661847177,5
MOOD_STABILIZERS,Mood stabilizer context,PASS,2,Lamotrigine; Valproate,144,0.558059141005992,0.6774003387294527,5,19,3,21,0.14285714285714285,0.5,0.7358195739722125,0.7358195739722125,0.6512737666758504,2
PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,PASS,3,Lysergide (LSD); Psilocin; Psilocybin,162,0.1684524964730172,0.23095733729651372,5,19,3,21,0.14285714285714285,0.5999999999999999,0.38330058415613627,0.2923496686355836,0.2834583113809714,3
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,PASS,2,Dextromethorphan; Scopolamine,54,0.29172843447621627,0.3379707159777131,2,19,1,20,0.05,0.5,0.33605098377930304,0.33605098377930304,0.3304170190175333,2
SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,PASS,9,Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone,450,0.2739409662104892,0.3888520830221966,16,19,8,27,0.2962962962962963,0.41666666666666663,0.43494666447167857,0.4835517037720703,0.2834583113809714,9
TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,PASS,2,Chlorpromazine; Haloperidol,414,0.1719948226910111,0.2409034702572895,12,19,8,23,0.34782608695652173,0.625,0.4406709370255618,0.4406709370255618,0.3135752316672766,2
