analysis_id,feature_id,representation,target,tissue,PC1_loading,PC2_loading
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_06645e2e8409a5b743985cdd|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Wholebrain,0.4179391250462262,0.024384242445340747
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_0cb8b4d1db8c390eeeecca55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Pons,-0.2726385381530696,-0.0085452226389444
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_13a552b6ffc4aac3b85a50ca|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Amygdala,0.07733386426076723,-0.0034504778945640777
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_192dff4b8df5862a227b1163|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,SubthalamicNucleus,-0.20257294726102013,-0.03520492442269382
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_20b60708f05d03c76f9fe702|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,CerebellumPeduncles,-0.19808276571627378,-0.01303958392644204
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_374f872ebf1bbba2be514f9f|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,GlobusPallidus,0.30135723087590643,0.01838047444059946
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_5c090f15f3e5194312a7e8ed|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,MedullaOblongata,-0.041738907826803805,0.006728957505077074
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,PrefrontalCortex,0.15467686010727424,0.026763018396060288
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_7725bb8a75064c4d7246d9ba|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,OccipitalLobe,0.3717088213790828,0.026992735076898106
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_8ed020260a1d25cf72324c8a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Hypothalamus,-0.08801382320894803,-0.017374722084697296
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_936b77a4b11b5c19027de438|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Spinalcord,0.1657960029387528,-0.019737201030398947
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_9aa72e4fb1ff63e1792b1ec7|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Cerebellum,-0.044729389278602726,0.9971604785923102
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_a32ce488a48b0df9b8c4c40a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Caudatenucleus,0.08274764858519916,-0.0008638864527001367
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_d99ba5ea584363f8600ade55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,CingulateCortex,0.18554886817226765,-0.0204952305128895
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_e75262fc0acfda69d976a6d3|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,ParietalLobe,0.07623190614171606,0.0133711742853757
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_eb2587e74e2d6457032d4ae7|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,TemporalLobe,0.240019022008314,0.008175664104331298
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_f43595f3557cf05e6a721aeb|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,Thalamus,0.2232980939423367,-0.009938359966134945
FAMILY_COMPLETE_CASE_PCA,OPRM1|EXACT_SINGLE_PROTEIN|HSAMP_ff841df7ecd9f2c8ea2660f5|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,OPRM1,OlfactoryBulb,0.46722351904043613,0.01724579176425848
