analysis_id,feature_id,representation,target,tissue,PC1_loading,PC2_loading
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_06645e2e8409a5b743985cdd|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Wholebrain,0.021683029597258964,0.009015801233303573
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_0cb8b4d1db8c390eeeecca55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Pons,0.02226854453142967,0.009259258276145429
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_13a552b6ffc4aac3b85a50ca|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Amygdala,-0.030750475291104216,-0.0127860441185428
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_192dff4b8df5862a227b1163|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,SubthalamicNucleus,0.02296167268281122,0.00954746088242947
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_20b60708f05d03c76f9fe702|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,CerebellumPeduncles,-0.02492292596736403,-0.010362949774439727
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_374f872ebf1bbba2be514f9f|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,GlobusPallidus,0.033988829760517786,0.01413255153754618
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_5c090f15f3e5194312a7e8ed|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,MedullaOblongata,0.02491742313005843,0.010360661695315779
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,PrefrontalCortex,0.009532283377097198,0.003963522340913709
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_7725bb8a75064c4d7246d9ba|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,OccipitalLobe,0.026878274807612342,0.01117598359918121
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_8ed020260a1d25cf72324c8a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Hypothalamus,-0.06579754315932863,0.06330071917204656
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_936b77a4b11b5c19027de438|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Spinalcord,0.014102032973688486,0.005863623701935746
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_9aa72e4fb1ff63e1792b1ec7|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Cerebellum,-0.05497765994971568,0.15603198852703337
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_a32ce488a48b0df9b8c4c40a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Caudatenucleus,-0.007954401892517175,-0.003307439399603642
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_d99ba5ea584363f8600ade55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,CingulateCortex,0.01837765226618344,0.007641425716064008
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_e75262fc0acfda69d976a6d3|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,ParietalLobe,0.016959311958063075,0.007051679977728137
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_eb2587e74e2d6457032d4ae7|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,TemporalLobe,0.023528807490454093,0.009783275470758194
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_f43595f3557cf05e6a721aeb|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,Thalamus,-0.002465209185835999,-0.0010250336982805953
FAMILY_JOINT_CONTINUOUS_PCA,ACHE|EXACT_SINGLE_PROTEIN|HSAMP_ff841df7ecd9f2c8ea2660f5|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ACHE,OlfactoryBulb,0.0336181443676477,0.013978420593472584
FAMILY_JOINT_CONTINUOUS_PCA,ADORA1|EXACT_SINGLE_PROTEIN|HSAMP_06645e2e8409a5b743985cdd|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,strict18_common_rhr,ADORA1,Wholebrain,-0.048743979672894434,0.09549914565120644
