compound,"Ketamine, pooled parent","Ketamine, confirmed racemate",S-ketamine,R-ketamine,"Hydroxyketamine, unspecified isomer aggregate","(2R,6R)-hydroxynorketamine","(2S,6S)-hydroxynorketamine","Hydroxynorketamine / HNK, generic identity","Hydroxyketamine, generic E7 identity",Norketamine
"Ketamine, pooled parent",0.0,0.7442758979244926,0.6890181160661232,0.6818427656595268,0.6299807238334955,0.5517755195725151,0.5268869148115378,0.628315984791545,0.6860697285132457,0.4681460727054086
"Ketamine, confirmed racemate",0.7442758979244926,0.0,0.1050607134528911,0.1080788469530828,0.1278806162879702,0.5965220626817586,0.6448999895883425,0.5737041207587892,0.8763494389315577,0.7239883654062186
S-ketamine,0.6890181160661232,0.1050607134528911,0.0,0.0082067057780861,0.00770773778648,0.5864244664806164,0.6431591650144743,0.5665117563375399,0.8972931788871951,0.6944721485745469
R-ketamine,0.6818427656595268,0.1080788469530828,0.0082067057780861,0.0,0.0,0.5718468280899635,0.6431591650144743,0.5608034681473559,0.8913874310322648,0.6875243477919086
"Hydroxyketamine, unspecified isomer aggregate",0.6299807238334955,0.1278806162879702,0.00770773778648,0.0,0.0,0.5718468280899635,0.6431591650144743,0.5946430333966535,0.8913874310322648,0.6593795388832042
"(2R,6R)-hydroxynorketamine",0.5517755195725151,0.5965220626817586,0.5864244664806164,0.5718468280899635,0.5718468280899635,0.0,0.12245943522782451,0.17916135638285344,0.5553193260230667,0.21132553369373228
"(2S,6S)-hydroxynorketamine",0.5268869148115378,0.6448999895883425,0.6431591650144743,0.6431591650144743,0.6431591650144743,0.12245943522782451,0.0,0.08859678953191437,0.6903166829910868,0.23946434318766407
"Hydroxynorketamine / HNK, generic identity",0.628315984791545,0.5737041207587892,0.5665117563375399,0.5608034681473559,0.5946430333966535,0.17916135638285344,0.08859678953191437,0.0,0.592082200081551,0.12678073618123384
"Hydroxyketamine, generic E7 identity",0.6860697285132457,0.8763494389315577,0.8972931788871951,0.8913874310322648,0.8913874310322648,0.5553193260230667,0.6903166829910868,0.592082200081551,0.0,0.2750566806082807
Norketamine,0.4681460727054086,0.7239883654062186,0.6944721485745469,0.6875243477919086,0.6593795388832042,0.21132553369373228,0.23946434318766407,0.12678073618123384,0.2750566806082807,0.0
