compound,"Ketamine, pooled parent","Ketamine, confirmed racemate",S-ketamine,R-ketamine,"Hydroxyketamine, unspecified isomer aggregate",Bupropion,Fluoxetine,Duloxetine,Venlafaxine,Scopolamine,Dextromethorphan,Morphine,Propofol,Dexmedetomidine,Lysergide (LSD),Psilocin,Clozapine,Chlorpromazine,Sertraline,Mirtazapine,Aripiprazole,Haloperidol,Olanzapine,Risperidone,Quetiapine,Ziprasidone,PCP,Valproate,Lamotrigine,Psilocybin,"(2R,6R)-hydroxynorketamine","(2S,6S)-hydroxynorketamine","Hydroxynorketamine / HNK, generic identity","Hydroxyketamine, generic E7 identity",Norketamine
"Ketamine, pooled parent",1.0,0.4761904761904761,0.4761904761904761,0.4285714285714285,0.238095238095238,0.0526315789473684,0.25,0.05,0.05,0.0526315789473684,0.0,0.0526315789473684,0.1052631578947368,0.0,0.1428571428571428,0.0526315789473684,0.2857142857142857,0.3809523809523809,0.25,0.0909090909090909,0.0909090909090909,0.1428571428571428,0.2307692307692307,0.1363636363636363,0.1,0.217391304347826,0.0526315789473684,0.1428571428571428,0.0,0.1578947368421052,0.0,0.0,0.0,0.0,0.05263157894736842
"Ketamine, confirmed racemate",0.4761904761904761,1.0,0.5,0.4375,0.1875,0.0833333333333333,0.125,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0526315789473684,0.1578947368421052,0.125,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0833333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
S-ketamine,0.4761904761904761,0.5,1.0,0.9166666666666666,0.5833333333333334,0.0833333333333333,0.125,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.1764705882352941,0.2941176470588235,0.125,0.0,0.0,0.1333333333333333,0.1363636363636363,0.0,0.0,0.1052631578947368,0.0833333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
R-ketamine,0.4285714285714285,0.4375,0.9166666666666666,1.0,0.6363636363636364,0.0909090909090909,0.1333333333333333,0.0833333333333333,0.0833333333333333,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.1875,0.3125,0.1333333333333333,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1111111111111111,0.0909090909090909,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
"Hydroxyketamine, unspecified isomer aggregate",0.238095238095238,0.1875,0.5833333333333334,0.6363636363636364,1.0,0.1428571428571428,0.1818181818181818,0.125,0.125,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.25,0.4166666666666667,0.1818181818181818,0.0,0.0,0.2,0.1764705882352941,0.0,0.0,0.1428571428571428,0.1428571428571428,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
Bupropion,0.0526315789473684,0.0833333333333333,0.0833333333333333,0.0909090909090909,0.1428571428571428,1.0,0.1666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluoxetine,0.25,0.125,0.125,0.1333333333333333,0.1818181818181818,0.1666666666666666,1.0,0.1428571428571428,0.1428571428571428,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.5714285714285714,0.1666666666666666,0.5555555555555556,0.6,0.7142857142857143,0.375,0.375,0.1,0.3571428571428571,0.5,0.2857142857142857,0.3636363636363636,0.1666666666666666,0.5714285714285714,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666
Duloxetine,0.05,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.125,0.5,0.1428571428571428,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venlafaxine,0.05,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.125,0.5,0.1428571428571428,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scopolamine,0.0526315789473684,0.0833333333333333,0.0833333333333333,0.0909090909090909,0.1428571428571428,0.0,0.1666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1,0.1666666666666666,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dextromethorphan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morphine,0.0526315789473684,0.0833333333333333,0.0833333333333333,0.0909090909090909,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Propofol,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.25,0.2,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.1538461538461538,0.3333333333333333,0.25,0.2222222222222222,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
Dexmedetomidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Lysergide (LSD),0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.2,0.625,0.5,0.375,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.3846153846153846,0.8333333333333334,0.3333333333333333,0.5555555555555556,0.0,0.4285714285714285,0.0,0.6,0.0,0.0,0.0,0.0,0.0
Psilocin,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.125,0.1,0.1666666666666666,0.2,0.2,0.2,0.0769230769230769,0.1666666666666666,0.3333333333333333,0.1111111111111111,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Clozapine,0.2857142857142857,0.0526315789473684,0.1764705882352941,0.1875,0.25,0.0,0.5555555555555556,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.625,0.125,1.0,0.8,0.4,0.4444444444444444,0.4444444444444444,0.3,0.6153846153846154,0.5555555555555556,0.2222222222222222,0.7,0.0,0.4444444444444444,0.0,0.375,0.0,0.0,0.0,0.0,0.125
Chlorpromazine,0.3809523809523809,0.1578947368421052,0.2941176470588235,0.3125,0.4166666666666667,0.1,0.6,0.0909090909090909,0.0909090909090909,0.1,0.0,0.1,0.2,0.0,0.5,0.1,0.8,1.0,0.4545454545454545,0.3636363636363636,0.3636363636363636,0.25,0.5333333333333333,0.4545454545454545,0.1818181818181818,0.5833333333333334,0.1,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.1
Sertraline,0.25,0.125,0.125,0.1333333333333333,0.1818181818181818,0.1666666666666666,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.1666666666666666,0.1666666666666666,0.0,0.3333333333333333,0.0,0.375,0.1666666666666666,0.4,0.4545454545454545,1.0,0.2222222222222222,0.2222222222222222,0.1,0.2666666666666666,0.3333333333333333,0.2857142857142857,0.25,0.1666666666666666,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666
Mirtazapine,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.2,0.4444444444444444,0.3636363636363636,0.2222222222222222,1.0,0.6666666666666666,0.1111111111111111,0.3846153846153846,0.5714285714285714,0.6,0.4,0.0,0.4285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Aripiprazole,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.2,0.4444444444444444,0.3636363636363636,0.2222222222222222,0.6666666666666666,1.0,0.25,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.5555555555555556,0.0,0.4285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Haloperidol,0.1428571428571428,0.0,0.1333333333333333,0.1428571428571428,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2,0.3,0.25,0.1,0.1111111111111111,0.25,1.0,0.2,0.1,0.1428571428571428,0.4,0.0,0.1111111111111111,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0
Olanzapine,0.2307692307692307,0.0416666666666666,0.1363636363636363,0.1428571428571428,0.1764705882352941,0.0,0.3571428571428571,0.0,0.0,0.0769230769230769,0.0,0.0,0.1538461538461538,0.0,0.3846153846153846,0.0769230769230769,0.6153846153846154,0.5333333333333333,0.2666666666666666,0.3846153846153846,0.2857142857142857,0.2,1.0,0.4615384615384615,0.2307692307692307,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.07692307692307693
Risperidone,0.1363636363636363,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334,0.1666666666666666,0.5555555555555556,0.4545454545454545,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.1,0.4615384615384615,1.0,0.2857142857142857,0.6666666666666666,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Quetiapine,0.1,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1818181818181818,0.2857142857142857,0.6,0.3333333333333333,0.1428571428571428,0.2307692307692307,0.2857142857142857,1.0,0.2,0.0,0.1428571428571428,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Ziprasidone,0.217391304347826,0.0,0.1052631578947368,0.1111111111111111,0.1428571428571428,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.5555555555555556,0.1111111111111111,0.7,0.5833333333333334,0.25,0.4,0.5555555555555556,0.4,0.5714285714285714,0.6666666666666666,0.2,1.0,0.0,0.2727272727272727,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
PCP,0.0526315789473684,0.0833333333333333,0.0833333333333333,0.0909090909090909,0.1428571428571428,1.0,0.1666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valproate,0.1428571428571428,0.1333333333333333,0.1333333333333333,0.1428571428571428,0.2,0.2,0.5714285714285714,0.1666666666666666,0.1666666666666666,0.2,0.0,0.0,0.0,0.0,0.4285714285714285,0.2,0.4444444444444444,0.5,0.375,0.4285714285714285,0.4285714285714285,0.1111111111111111,0.2857142857142857,0.375,0.1428571428571428,0.2727272727272727,0.2,1.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.2
Lamotrigine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Psilocybin,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6,0.3333333333333333,0.375,0.3,0.5,0.3333333333333333,0.3333333333333333,0.1428571428571428,0.2307692307692307,0.5,0.5,0.3333333333333333,0.0,0.1428571428571428,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(2R,6R)-hydroxynorketamine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
"(2S,6S)-hydroxynorketamine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
"Hydroxynorketamine / HNK, generic identity",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
"Hydroxyketamine, generic E7 identity",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Norketamine,0.05263157894736842,0.08333333333333333,0.08333333333333333,0.09090909090909091,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1,0.16666666666666666,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
