compound,"Ketamine, pooled parent","Ketamine, confirmed racemate",S-ketamine,R-ketamine,"Hydroxyketamine, unspecified isomer aggregate",Bupropion,Fluoxetine,Duloxetine,Venlafaxine,Scopolamine,Dextromethorphan,Morphine,Propofol,Dexmedetomidine,Lysergide (LSD),Psilocin,Clozapine,Chlorpromazine,Sertraline,Mirtazapine,Aripiprazole,Haloperidol,Olanzapine,Risperidone,Quetiapine,Ziprasidone,PCP,Valproate,Lamotrigine,Psilocybin,"(2R,6R)-hydroxynorketamine","(2S,6S)-hydroxynorketamine","Hydroxynorketamine / HNK, generic identity","Hydroxyketamine, generic E7 identity",Norketamine
"Ketamine, pooled parent",1.0,0.6956610497508727,0.6876164329677573,0.6552909793487582,0.4436691866562184,0.2224919015889849,0.5057873142487076,0.1720051724126991,0.17176720903599,0.26659788867598,0.0,0.227829111317026,0.3263590435666391,,0.3424753756025624,0.25663292926454,0.5199642536389558,0.6032510005542847,0.4954744416257681,0.2640903069083786,0.255343454629761,0.3114761296919101,0.4293999584526514,0.3192254498091788,0.3105781412064888,0.4155528988512841,0.2224919015889849,0.3661350728216941,,0.4124547772758332,,,,,0.26659788867598005
"Ketamine, confirmed racemate",0.6956610497508727,1.0,0.7351336021914696,0.6889969881139448,0.3636022283577672,0.2478130028455786,0.251265213765024,0.1915805383303565,0.191315493092627,0.3457555937658614,0.0,0.2786937767662342,0.0,,0.0,0.0,0.1394517120081457,0.2800002727164932,0.2419488974748519,0.0,0.0,0.0,0.0936417483920236,0.0,0.0,0.0,0.2478130028455786,0.2707860369757744,,0.0,,,,,0.34575559376586135
S-ketamine,0.6876164329677573,0.7351336021914696,1.0,0.9721183955800478,0.7616782911344178,0.2801919240335168,0.2769230621432353,0.216612199625413,0.2163125239253382,0.3750715326271058,0.0,0.279265803188388,0.0,,0.0,0.0,0.3295476987267883,0.4561829494054307,0.2683155720975278,0.0,0.0,0.2283696701019898,0.2175395888160348,0.0,0.0,0.1614790261176351,0.2801919240335168,0.2976675534187824,,0.0,,,,,0.37507153262710585
R-ketamine,0.6552909793487582,0.6889969881139448,0.9721183955800478,1.0,0.7924807938333018,0.2915229710079471,0.28812191534456,0.2253720631284618,0.2250602684515595,0.3902395399479055,0.0,0.2905593975530176,0.0,,0.0,0.0,0.3428747083023462,0.474631127190986,0.2791663357728026,0.0,0.0,0.2376050093016709,0.2263369562211634,0.0,0.0,0.1680092872471648,0.2915229710079471,0.3097053201823544,,0.0,,,,,0.3902395399479055
"Hydroxyketamine, unspecified isomer aggregate",0.4436691866562184,0.3636022283577672,0.7616782911344178,0.7924807938333018,1.0,0.3678612444319615,0.3635695875364854,0.2843880443314173,0.2839946030274405,0.4924277572208169,0.0,0.3666453494065835,0.0,,0.0,0.0,0.4326599596740129,0.5989181452526464,0.352268897801863,0.0,0.0,0.2998243126528705,0.2856056045552233,0.0,0.0,0.2120042385311176,0.3678612444319615,0.3908048278170649,,0.0,,,,,0.492427757220817
Bupropion,0.2224919015889849,0.2478130028455786,0.2801919240335168,0.2915229710079471,0.3678612444319615,1.0,0.3829886835438003,0.7730850929147468,0.772015555664134,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2966227792385288,0.514834664824197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3450322080161605,,0.0,,,,,0.0
Fluoxetine,0.5057873142487076,0.251265213765024,0.2769230621432353,0.28812191534456,0.3635695875364854,0.3829886835438003,1.0,0.2960828420027553,0.2956732213391421,0.4522143411685212,0.0,0.0,0.5726324535720032,,0.7422423318863697,0.4408441387740977,0.7575568589257328,0.8108231808784881,0.8561035313972333,0.5999333438124808,0.5953145136531223,0.2109269187920336,0.6861193782277719,0.6982331309964257,0.5332140851303072,0.6084714523301848,0.3829886835438003,0.7607467551402751,,0.7177710725196773,,,,,0.4522143411685212
Duloxetine,0.1720051724126991,0.1915805383303565,0.216612199625413,0.2253720631284618,0.2843880443314173,0.7730850929147468,0.2960828420027553,1.0,0.9999985813397684,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2293146488482485,0.3980110046913468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7730850929147468,0.2667392565927536,,0.0,,,,,0.0
Venlafaxine,0.17176720903599,0.191315493092627,0.2163125239253382,0.2250602684515595,0.2839946030274405,0.772015555664134,0.2956732213391421,0.9999985813397684,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2289973997364726,0.3974603698394107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772015555664134,0.2663702317936192,,0.0,,,,,0.0
Scopolamine,0.26659788867598,0.3457555937658614,0.3750715326271058,0.3902395399479055,0.4924277572208169,0.0,0.4522143411685212,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.4033245290098751,0.36391210576405,0.330771722216061,0.0,0.0,0.0,0.2708322007812141,0.0,0.0,0.0,0.0,0.535877286642885,,0.0,,,,,1.0
Dextromethorphan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3568283591656674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Morphine,0.227829111317026,0.2786937767662342,0.279265803188388,0.2905593975530176,0.3666453494065835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.2894526236286297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
Propofol,0.3263590435666391,0.0,0.0,0.0,0.0,0.0,0.5726324535720032,0.0,0.0,0.0,0.0,0.0,1.0,,0.6515411547125369,0.0,0.5042141515520995,0.4669978850011024,0.5688226864377096,0.3696097730576491,0.3257526327228737,0.0,0.4856981689348121,0.574136973333702,0.4214310924798883,0.5232988928971918,0.0,0.0,,0.8435308530583184,,,,,0.0
Dexmedetomidine,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Lysergide (LSD),0.3424753756025624,0.0,0.0,0.0,0.0,0.0,0.7422423318863697,0.0,0.0,0.0,0.0,0.0,0.6515411547125369,,1.0,0.5059460455830209,0.7764071224029034,0.7188915433407838,0.5813358976662244,0.8352776431924309,0.8422062428703408,0.2420756704775559,0.757696523264121,0.9461698083586044,0.6093730635865783,0.8186448099815296,0.0,0.5812198118098864,,0.8189652490412914,,,,,0.0
Psilocin,0.25663292926454,0.0,0.0,0.0,0.0,0.0,0.4408441387740977,0.0,0.0,0.0,0.0,0.0,0.0,,0.5059460455830209,1.0,0.3919632929583428,0.3631735419450216,0.4173296342006752,0.5588301396862395,0.5805433551525934,0.478461433962989,0.4008680241208873,0.5137692194964829,0.6740467794924092,0.4338837395708041,0.0,0.5708715867530306,,0.5344264065750146,,,,,0.0
Clozapine,0.5199642536389558,0.1394517120081457,0.3295476987267883,0.3428747083023462,0.4326599596740129,0.0,0.7575568589257328,0.0,0.0,0.4033245290098751,0.0,0.0,0.5042141515520995,,0.7764071224029034,0.3919632929583428,1.0,0.9098121404252854,0.5834851176636556,0.6491597833641132,0.6546833458608008,0.4879458144131677,0.850045236584619,0.734715680084221,0.4721145005047995,0.8480187110965524,0.0,0.6682928256583541,,0.6340465066762583,,,,,0.4033245290098751
Chlorpromazine,0.6032510005542847,0.2800002727164932,0.4561829494054307,0.474631127190986,0.5989181452526464,0.2966227792385288,0.8108231808784881,0.2293146488482485,0.2289973997364726,0.36391210576405,0.0,0.2894526236286297,0.4669978850011024,,0.7188915433407838,0.3631735419450216,0.9098121404252854,1.0,0.6900030504017971,0.6011035967526952,0.6061953601099771,0.4362125191895134,0.776526528678522,0.6802887435176953,0.4374245656767982,0.7740996545169674,0.2966227792385288,0.7159703222883854,,0.5873328549655074,,,,,0.36391210576405
