analysis_id,representation,method,status,reason,sample_count,feature_count,rank,component_count,explained_variance_sum,iterations,converged,observed_reconstruction_rmse,input_roster,query_projection_status,query_projection_details,reference_roster,reference_axes_refit_with_query,excluded_compounds,stress,seed
GLOBAL_JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,779.0,34.0,2.0,0.9862560966138564,300.0,False,0.10714130999902112,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,
GLOBAL_COMPLETE_CASE_PCA,strict18_common_rhr,COMPLETE_CASE_SVD_PCA,NOT_ESTIMABLE,No estimable complete-case PCA matrix,,,,,,,,,,,,,,,,
GLOBAL_TARGET_LEVEL_PCA,target_mean_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,45.0,34.0,2.0,0.9926131533187987,300.0,False,0.05611115786915532,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,
GLOBAL_SHARED_TARGET_PCA,complete_case_target_mean_common_rhr,SHARED_TARGET_COMPLETE_CASE_PCA,NOT_ESTIMABLE,No estimable complete-case PCA matrix,,,,,,,,,,,,,,,,
GLOBAL_SPARSE_ALPHA001_PCA,alpha001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,30.0,23.0,2.0,0.9546591518616964,300.0,False,0.21883520923625704,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,
GLOBAL_SPARSE_ALPHA0001_PCA,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,25.0,19.0,2.0,0.9531429676955034,300.0,False,0.20462314400569592,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,
GLOBAL_FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,25.0,468.0,24.0,2.0,0.9753390349249782,300.0,False,0.11116240979371785,Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin,ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 450, 'condition_number': 1.0301612307839851, 'coordinates': [3.6561804701853, 1.6287490536362472], 'projection_rmse': 0.1193104072148933}, {'compound': 'Ketamine, confirmed racemate', 'status': 'ESTIMATED', 'observed_features': 198, 'condition_number': 1.2096303691755792, 'coordinates': [-10.777960914303042, 0.3057962348735587], 'projection_rmse': 0.34416273437468814}, {'compound': 'S-ketamine', 'status': 'ESTIMATED', 'observed_features': 342, 'condition_number': 1.1852666895304573, 'coordinates': [-9.369040787299818, 0.11800431635710494], 'projection_rmse': 0.26571918657756427}, {'compound': 'R-ketamine', 'status': 'ESTIMATED', 'observed_features': 324, 'condition_number': 1.137348777883227, 'coordinates': [-9.18133202235348, -0.28305962186356287], 'projection_rmse': 0.2648099731633403}, {'compound': 'Hydroxyketamine, unspecified isomer aggregate', 'status': 'ESTIMATED', 'observed_features': 324, 'condition_number': 1.137348777883227, 'coordinates': [-9.18133202235348, -0.28305962186356287], 'projection_rmse': 0.2648099731633403}, {'compound': '(2R,6R)-hydroxynorketamine', 'status': 'ESTIMATED', 'observed_features': 37, 'condition_number': 12.454978359206157, 'coordinates': [0.46348225982632735, 0.7107432090532786], 'projection_rmse': 0.43562616458008563}, {'compound': '(2S,6S)-hydroxynorketamine', 'status': 'ESTIMATED', 'observed_features': 18, 'condition_number': 15.248872696802065, 'coordinates': [-7.324674641067853, -17.95926369195215], 'projection_rmse': 0.48868335051085215}, {'compound': 'Hydroxynorketamine / HNK, generic identity', 'status': 'ESTIMATED', 'observed_features': 55, 'condition_number': 4.979377505901152, 'coordinates': [14.112752400330985, 20.193336487913083], 'projection_rmse': 0.42962477097012086}, {'compound': 'Hydroxyketamine, generic E7 identity', 'status': 'ESTIMATED', 'observed_features': 96, 'condition_number': 1.622067394627802, 'coordinates': [4.423024665683023, 2.108908619197154], 'projection_rmse': 0.6111313965198306}, {'compound': 'Norketamine', 'status': 'ESTIMATED', 'observed_features': 72, 'condition_number': 1.2735824833966636, 'coordinates': [5.30343837984026, 3.344334931501295], 'projection_rmse': 0.3967549015703097}]",Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin,False,,,
GLOBAL_RMS_PCOA,pairwise_rms,PCOA,PASS_WITH_LIMITATION,"Distance ordination uses complete finite subset, n=21/35; excluded profiles are listed",21.0,,12.0,2.0,0.85051867308528,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity",,,,,"Dextromethorphan; Lamotrigine; (2S,6S)-hydroxynorketamine; (2R,6R)-hydroxynorketamine; Psilocin; Psilocybin; Scopolamine; Lysergide (LSD); Morphine; Norketamine; Mirtazapine; Hydroxynorketamine / HNK, generic identity; Quetiapine; Bupropion",,
GLOBAL_WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS_WITH_LIMITATION,"Distance ordination uses complete finite subset, n=21/35; excluded profiles are listed",21.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity",,,,,"Dextromethorphan; Lamotrigine; (2S,6S)-hydroxynorketamine; (2R,6R)-hydroxynorketamine; Psilocin; Psilocybin; Scopolamine; Lysergide (LSD); Morphine; Norketamine; Mirtazapine; Hydroxynorketamine / HNK, generic identity; Quetiapine; Bupropion",3.9268542445790993,20260813.0
GLOBAL_AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS_WITH_LIMITATION,"Hierarchical clustering uses complete finite subset, n=21/35; excluded profiles are listed",21.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity",,,,,"Dextromethorphan; Lamotrigine; (2S,6S)-hydroxynorketamine; (2R,6R)-hydroxynorketamine; Psilocin; Psilocybin; Scopolamine; Lysergide (LSD); Morphine; Norketamine; Mirtazapine; Hydroxynorketamine / HNK, generic identity; Quetiapine; Bupropion",,
