compound,"Ketamine, pooled parent","Ketamine, confirmed racemate",S-ketamine,R-ketamine,"Hydroxyketamine, unspecified isomer aggregate",Fluoxetine,Duloxetine,Venlafaxine,Propofol,Dexmedetomidine,Clozapine,Chlorpromazine,Sertraline,Aripiprazole,Haloperidol,Olanzapine,Risperidone,Ziprasidone,PCP,Valproate,"Hydroxyketamine, generic E7 identity"
"Ketamine, pooled parent",0.0,0.7442758979244926,0.6890181160661232,0.6818427656595268,0.6299807238334955,0.204224661847177,0.4131805272340347,0.2494776983270446,0.0538574298442879,0.3216752583575321,0.357342677507437,0.3135752316672766,0.6726171872283485,0.5374838801345585,0.5677666423838471,0.490811829670648,0.4974869229892352,0.4835517037720703,0.6428213711387473,0.6512737666758504,0.6860697285132457
"Ketamine, confirmed racemate",0.7442758979244926,0.0,0.1050607134528911,0.1080788469530828,0.1278806162879702,0.8558022186953677,1.083927671294058,0.9051715813502068,0.8285263778996603,1.0737723498362022,0.9856376970880796,0.9688848917433844,0.2184248468561585,0.3234655695860858,0.3518321739226771,0.2383847487997855,0.3627479919835816,0.4048376449995459,0.069509149169882,0.0976326746470296,0.8763494389315577
S-ketamine,0.6890181160661232,0.1050607134528911,0.0,0.0082067057780861,0.00770773778648,0.8390907344868201,1.024735123409645,0.8477119779704276,0.7470951780686846,1.0227637219428016,1.0046143869846018,0.9607931295524014,0.1733126636889014,0.2752938917891716,0.3282982128476738,0.3015672626823285,0.3793797879635138,0.3716773276533327,0.0739484808642646,0.078384081684153,0.8972931788871951
R-ketamine,0.6818427656595268,0.1080788469530828,0.0082067057780861,0.0,0.0,0.8509979647650046,1.122435377360561,0.908351148049888,0.7470951780686846,1.0227637219428016,1.0349478603592124,0.974304321317136,0.1061917054347719,0.2825435370343106,0.3389507277827493,0.3125053481551969,0.3941952625468317,0.3825378040988331,0.0766393119921535,0.078384081684153,0.8913874310322648
"Hydroxyketamine, unspecified isomer aggregate",0.6299807238334955,0.1278806162879702,0.00770773778648,0.0,0.0,0.8509979647650046,1.122435377360561,0.908351148049888,0.7470951780686846,1.0227637219428016,1.0349478603592124,0.974304321317136,0.1061917054347719,0.2825435370343106,0.3389507277827493,0.3125053481551969,0.3941952625468317,0.3825378040988331,0.0766393119921535,0.078384081684153,0.8913874310322648
Fluoxetine,0.204224661847177,0.8558022186953677,0.8390907344868201,0.8509979647650046,0.8509979647650046,0.0,0.1726201279481877,0.0674585111487769,0.1850399708494638,0.2125744567524906,0.1622290420306874,0.1456467351355211,0.7437992171659513,0.7288928074683649,0.8030811080393528,0.5372793902514171,0.7334621491182517,0.6882925778492153,0.8462666453945042,0.7749178905312102,0.6743351712719797
Duloxetine,0.4131805272340347,1.083927671294058,1.024735123409645,1.122435377360561,1.122435377360561,0.1726201279481877,0.0,0.1840712375578367,0.4477006188867772,0.380821554042646,0.2845870447325395,0.1258286453344357,0.8471499127193035,0.9784917067293832,1.0290686423447792,0.667479504267652,1.1044360828844708,0.9435932844859446,1.0483926062372209,1.0948591716017968,0.9836892587784873
Venlafaxine,0.2494776983270446,0.9051715813502068,0.8477119779704276,0.908351148049888,0.908351148049888,0.0674585111487769,0.1840712375578367,0.0,0.2248441750055765,0.1576725559991895,0.1267839304202924,0.0932394005725313,0.6681798548423177,0.7994672689280556,0.8500438408417953,0.5853575719166909,0.925031202599356,0.7647996830980308,0.8700479710625907,0.8874782490146123,0.8546221047469076
Propofol,0.0538574298442879,0.8285263778996603,0.7470951780686846,0.7470951780686846,0.7470951780686846,0.1850399708494638,0.4477006188867772,0.2248441750055765,0.0,0.0676398466396026,0.295797706699905,0.3104424070996326,0.6791066309624331,0.5060144784399969,0.7006405279328721,0.2903415663571012,0.6035210274748637,0.435267541818659,0.8490578119576689,0.6886496927975485,2.2673913665621175
Dexmedetomidine,0.3216752583575321,1.0737723498362022,1.0227637219428016,1.0227637219428016,1.0227637219428016,0.2125744567524906,0.380821554042646,0.1576725559991895,0.0676398466396026,0.0,0.1497107615421661,0.1774353534732614,0.9819048931808856,0.9118569769824172,0.9453996013288322,0.9583247659925864,0.7092950989063885,0.9368051050862424,0.9159014550631412,0.8930110427012218,2.3686636467656434
Clozapine,0.357342677507437,0.9856376970880796,1.0046143869846018,1.0349478603592124,1.0349478603592124,0.1622290420306874,0.2845870447325395,0.1267839304202924,0.295797706699905,0.1497107615421661,0.0,0.1275592800063014,1.021503999641554,0.7954457102400994,0.8688323620512155,0.7682296546744103,0.7173075786223518,0.7261984190527483,0.7534044213645258,0.9913449558119396,0.6735782506157388
Chlorpromazine,0.3135752316672766,0.9688848917433844,0.9607931295524014,0.974304321317136,0.974304321317136,0.1456467351355211,0.1258286453344357,0.0932394005725313,0.3104424070996326,0.1774353534732614,0.1275592800063014,0.0,0.955012711902932,0.7836137022237383,0.8466903875589958,0.7343720994938975,0.7499074656644432,0.7177068986655856,0.8824378776675048,0.9874964729386732,0.6663364761229713
Sertraline,0.6726171872283485,0.2184248468561585,0.1733126636889014,0.1061917054347719,0.1061917054347719,0.7437992171659513,0.8471499127193035,0.6681798548423177,0.6791066309624331,0.9819048931808856,1.021503999641554,0.955012711902932,0.0,0.3820131839874029,0.366301132446685,0.4114815372803235,0.4846450681660069,0.4655478338240645,0.2668971204498898,0.1836650267106571,0.802053516133776
