analysis_id,feature_id,representation,target,tissue,PC1_loading,PC2_loading
GLOBAL_SPARSE_ALPHA0001_PCA,ADORA1|EXACT_SINGLE_PROTEIN|HSAMP_06645e2e8409a5b743985cdd|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,ADORA1,Wholebrain,-0.2901316491755699,0.04904676996686814
GLOBAL_SPARSE_ALPHA0001_PCA,ADORA1|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,ADORA1,PrefrontalCortex,-0.19968365484065553,-0.5295853396552385
GLOBAL_SPARSE_ALPHA0001_PCA,CHRM3|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,CHRM3,PrefrontalCortex,-0.3072527144047492,0.002475369481457189
GLOBAL_SPARSE_ALPHA0001_PCA,DRD1|EXACT_SINGLE_PROTEIN|HSAMP_0cb8b4d1db8c390eeeecca55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,DRD1,Pons,-0.29121152578747383,0.11631613477948216
GLOBAL_SPARSE_ALPHA0001_PCA,DRD1|EXACT_SINGLE_PROTEIN|HSAMP_a32ce488a48b0df9b8c4c40a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,DRD1,Caudatenucleus,-0.29121152578747383,0.11631613477948216
GLOBAL_SPARSE_ALPHA0001_PCA,DRD2|EXACT_SINGLE_PROTEIN|HSAMP_a32ce488a48b0df9b8c4c40a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,DRD2,Caudatenucleus,-0.007746404826464448,-0.10150879406279419
GLOBAL_SPARSE_ALPHA0001_PCA,GABRA1|EXACT_SINGLE_PROTEIN|HSAMP_7725bb8a75064c4d7246d9ba|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GABRA1,OccipitalLobe,0.02484057009384952,-0.3959262092297677
GLOBAL_SPARSE_ALPHA0001_PCA,GRIN1|EXACT_SINGLE_PROTEIN|HSAMP_13a552b6ffc4aac3b85a50ca|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN1,Amygdala,-0.2769990522791916,-0.013935504514803654
GLOBAL_SPARSE_ALPHA0001_PCA,GRIN1|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN1,PrefrontalCortex,-0.2769990522791916,-0.013935504514803654
GLOBAL_SPARSE_ALPHA0001_PCA,GRIN2A|EXACT_SINGLE_PROTEIN|HSAMP_192dff4b8df5862a227b1163|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN2A,SubthalamicNucleus,-0.2769990522791916,-0.013935504514803654
