analysis_id,compound,representation,method,PC1,PC1_variance_fraction,PC2,PC2_variance_fraction
GLOBAL_SPARSE_ALPHA0001_PCA,"Ketamine, pooled parent",alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.4478433875855186,0.5568302908991383,-1.1701947964579584,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,"Ketamine, confirmed racemate",alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.5725953617734404,0.5568302908991383,-6.069108957294214,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,S-ketamine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.8493055334028983,0.5568302908991383,1.3459138990004933,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,R-ketamine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.8517558115662066,0.5568302908991383,1.340142028384388,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,"Hydroxyketamine, unspecified isomer aggregate",alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.1692944729501145,0.5568302908991383,-0.3163510998754562,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Bupropion,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.558648074850433,0.5568302908991383,-0.060745796869524776,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Fluoxetine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.0491165066532389,0.5568302908991383,-1.0861167321464456,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Duloxetine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.4950550526776791,0.5568302908991383,-0.5351048059043642,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Venlafaxine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.4950550526776791,0.5568302908991383,-0.5351048059043642,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Scopolamine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.9158217836357582,0.5568302908991383,0.26260626104074825,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Dextromethorphan,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,6.65985368745571,0.5568302908991383,-4.066822264562431,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Morphine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.0048393972961283,0.5568302908991383,0.03507636121843686,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Propofol,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.5154201025794065,0.5568302908991383,0.8786053372236883,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Dexmedetomidine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.05877756937131468,0.5568302908991383,0.12598571663540475,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Lysergide (LSD),alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.5332119275307802,0.5568302908991383,1.4513152268750757,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Psilocin,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.8218347869976238,0.5568302908991383,-1.0233881182175248,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Clozapine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-1.0702897147182637,0.5568302908991383,0.5669066149304827,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Chlorpromazine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.8835335034323114,0.5568302908991383,1.3431076559689803,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Sertraline,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,0.8489321367482522,0.5568302908991383,-0.8236826957379567,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Mirtazapine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,3.4403997692663424,0.5568302908991383,1.4362581151590565,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Aripiprazole,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,2.4437744086649573,0.5568302908991383,1.089379816024858,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Haloperidol,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.4955830826444134,0.5568302908991383,-1.2831791018518093,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Olanzapine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,-0.13735178753038943,0.5568302908991383,2.2262120868666853,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Risperidone,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,2.1161678245198368,0.5568302908991383,1.7353440997860288,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Quetiapine,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,2.3001873189211115,0.5568302908991383,-0.4072400810847878,0.3963126767963651
GLOBAL_SPARSE_ALPHA0001_PCA,Ziprasidone,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,0.17188839473223835,0.5568302908991383,1.6704156966717394,0.3963126767963651
