analysis_id,feature_id,representation,target,tissue,PC1_loading,PC2_loading
GLOBAL_TARGET_LEVEL_PCA,ACHE,target_mean_common_rhr,ACHE,TARGET_LEVEL_MEAN,-0.2595120085871525,-0.07106736468409505
GLOBAL_TARGET_LEVEL_PCA,ADORA1,target_mean_common_rhr,ADORA1,TARGET_LEVEL_MEAN,-0.14593818857907107,-0.17205292223477983
GLOBAL_TARGET_LEVEL_PCA,ADORA3,target_mean_common_rhr,ADORA3,TARGET_LEVEL_MEAN,-0.0902125209137908,0.12391209785112894
GLOBAL_TARGET_LEVEL_PCA,ADRA1A,target_mean_common_rhr,ADRA1A,TARGET_LEVEL_MEAN,0.09600109919025632,0.21683273886358556
GLOBAL_TARGET_LEVEL_PCA,ADRA2A,target_mean_common_rhr,ADRA2A,TARGET_LEVEL_MEAN,-0.004536705818008537,0.23934945017979659
GLOBAL_TARGET_LEVEL_PCA,ADRA2B,target_mean_common_rhr,ADRA2B,TARGET_LEVEL_MEAN,-0.09725386509302526,0.16222305741179877
GLOBAL_TARGET_LEVEL_PCA,ADRA2C,target_mean_common_rhr,ADRA2C,TARGET_LEVEL_MEAN,0.0019204419586422523,0.10914418235657056
GLOBAL_TARGET_LEVEL_PCA,ADRB1,target_mean_common_rhr,ADRB1,TARGET_LEVEL_MEAN,-0.13344085508475048,0.12717351795948803
GLOBAL_TARGET_LEVEL_PCA,ADRB2,target_mean_common_rhr,ADRB2,TARGET_LEVEL_MEAN,-0.2065191301318152,0.14134239842123625
GLOBAL_TARGET_LEVEL_PCA,AR,target_mean_common_rhr,AR,TARGET_LEVEL_MEAN,-0.10097859457282883,0.1579279028512859
GLOBAL_TARGET_LEVEL_PCA,BCHE,target_mean_common_rhr,BCHE,TARGET_LEVEL_MEAN,-0.08386386873972904,0.11343760244702246
GLOBAL_TARGET_LEVEL_PCA,CACNA1C,target_mean_common_rhr,CACNA1C,TARGET_LEVEL_MEAN,-0.09984504569500056,0.15480625365892586
GLOBAL_TARGET_LEVEL_PCA,CCKAR,target_mean_common_rhr,CCKAR,TARGET_LEVEL_MEAN,-0.08255710762914621,-0.097330189973877
GLOBAL_TARGET_LEVEL_PCA,CHRM2,target_mean_common_rhr,CHRM2,TARGET_LEVEL_MEAN,-0.006435972472950272,0.1900764060430629
GLOBAL_TARGET_LEVEL_PCA,CHRM3,target_mean_common_rhr,CHRM3,TARGET_LEVEL_MEAN,0.026819168015535855,0.048469633368815865
