metric,value
wholebody_theoretical_coordinates,4466
wholebody_rows,4466
wholebody_unique_targets,58
wholebody_unique_tissues,77
wholebody_finite_hr,4466
wholebody_missing_hr,0
alpha_0p001_calls,59
alpha_0p0001_calls,38
alpha_0p001_unique_targets,43
alpha_0p001_unique_tissues,36
alpha_0p0001_unique_targets,33
alpha_0p0001_unique_tissues,25
alpha_0p001_CNS_calls,13
alpha_0p001_peripheral_nonCNS_calls,46
alpha_0p0001_CNS_calls,8
alpha_0p0001_peripheral_nonCNS_calls,30
strict_CNS_19_calls_retained_wholebody_alpha_0p001,13
strict_CNS_19_calls_retained_wholebody_alpha_0p0001,8
wholebody_only_alpha_0p001_calls,46
CNS_HR_discrepancy_flags,0
CNS_missing_wholebody_coordinate_flags,0
